"True"	"Mean"	"Q2.5"	"Q50"	"Q97.5"	"Coverage"	"CILength"	"Rel_Bias"	"Bias"	"Bias_sq"
-0.382924922548026	-0.413046939175825	-0.520282014200114	-0.413101564100789	-0.306896462991105	1	0.21338555120901	0.078662982882815	-0.0301220166277986	0.000907335885725377
-0.382924922548026	-0.467321756760058	-0.566942374034002	-0.467139200103054	-0.368279494819373	1	0.198662879214628	0.220400473415116	-0.0843968342120317	0.00712282562501316
-0.382924922548026	-0.328929236039718	-0.415635352082195	-0.329082974626757	-0.240983045615141	1	0.174652306467053	-0.141008545876341	0.0539956865083077	0.00291553416150344
-0.382924922548026	-0.392868792735478	-0.490018917648203	-0.392715487745756	-0.295661490963906	1	0.194357426684297	0.0259681979466999	-0.00994387018745185	9.88805543048937e-05
-0.382924922548026	-0.355142117203951	-0.454507951678002	-0.355105870024037	-0.254267616735308	1	0.200240334942694	-0.0725541841445185	0.027782805344075	0.00077188427278676
-0.382924922548026	-0.302300912264074	-0.390572124140216	-0.302528547566206	-0.212670789139423	1	0.177901335000793	-0.210547826836318	0.0806240102839523	0.00650023103426684
-0.382924922548026	-0.409942080163767	-0.523187530511088	-0.409677559730994	-0.297952782098865	1	0.225234748412223	0.07055471196799	-0.0270171576157409	0.000729926805633784
-0.382924922548026	-0.379501670485704	-0.469426978332343	-0.379793813450524	-0.288489466487967	1	0.180937511844377	-0.00893974735189091	0.00342325206232175	1.17186546821901e-05
-0.382924922548026	-0.392165652990625	-0.496584417796149	-0.391777714254671	-0.28870017506967	1	0.20788424272648	0.02413196399208	-0.00924073044259899	8.53910991127757e-05
-0.382924922548026	-0.411928862690185	-0.501928582724747	-0.411926303758673	-0.32202505356073	1	0.179903529164018	0.0757431507700358	-0.0290039401421594	0.000841228543769966
-0.382924922548026	-0.37181168375245	-0.469794014165217	-0.37191628712268	-0.274292771022293	1	0.195501243142924	-0.029021978307465	0.0111132387955765	0.000123504076527507
-0.382924922548026	-0.424651622357696	-0.524752815476311	-0.424390232639177	-0.326010241431642	1	0.19874257404467	0.10896835737934	-0.0417266998096695	0.00174111747700627
-0.382924922548026	-0.407869789423571	-0.505350624209792	-0.407837051204509	-0.310134860105541	1	0.195215764104251	0.0651429703492756	-0.0249448668755447	0.000622246383438647
-0.382924922548026	-0.477931704640079	-0.589220724841615	-0.477516297507321	-0.367406980668012	1	0.221813744173603	0.248108118583315	-0.0950067820920525	0.00902628864348676
-0.382924922548026	-0.452438394995895	-0.559800046666821	-0.452353154845766	-0.346648288342996	1	0.213151758323825	0.181532902025073	-0.0695134724478694	0.00483212285176069
-0.382924922548026	-0.451242116582741	-0.550662948120753	-0.451294491559985	-0.352274174402839	1	0.198388773717914	0.178408847301253	-0.068317194034715	0.0046672390007769
-0.382924922548026	-0.47223600697443	-0.576303219712761	-0.471928947657061	-0.370491034877555	1	0.205812184835206	0.233233929596741	-0.0893110844264037	0.0079764698014202
-0.382924922548026	-0.396974895947212	-0.489470053837412	-0.396893112764556	-0.304754223321665	1	0.184715830515747	0.0366911960331435	-0.0140499733991859	0.000197401752517831
-0.382924922548026	-0.388465426107558	-0.481732625696988	-0.388551945904659	-0.295541916942539	1	0.186190708754449	0.0144689029971319	-0.00554050355953162	3.06971796931825e-05
-0.382924922548026	-0.435229568423331	-0.538362953080016	-0.435326433315946	-0.331421361970056	1	0.20694159110996	0.13659243051422	-0.0523046458753045	0.00273577598014101
-0.382924922548026	-0.351767180201863	-0.451912986382001	-0.351501281513678	-0.253548393926607	1	0.198364592455393	-0.081367757780913	0.0311577423461626	0.000970804908109857
-0.382924922548026	-0.329685905469801	-0.434958472967053	-0.329821033834781	-0.224131053950685	1	0.210827419016367	-0.139032520327919	0.0532390170782254	0.00283439293945557
-0.382924922548026	-0.395311281692419	-0.523325184387698	-0.395016520380643	-0.269853834885795	1	0.253471349501903	0.0323467040535595	-0.0123863591443932	0.000153421892853892
-0.382924922548026	-0.415570744790773	-0.505124572044635	-0.41579934970608	-0.324762652887543	1	0.180361919157092	0.0852538456507816	-0.0326458222427469	0.00106574970990503
-0.382924922548026	-0.36521786400141	-0.470716843042309	-0.364935848923481	-0.26059750887449	1	0.210119334167819	-0.0462415933358193	0.0177070585466159	0.000313539922373284
-0.382924922548026	-0.334788655481898	-0.423664517015491	-0.33489323993006	-0.245113341903629	1	0.178551175111862	-0.125706801076889	0.0481362670661278	0.00231710020706158
-0.382924922548026	-0.503233208335722	-0.635423465323968	-0.502562357257808	-0.376460388173285	1	0.258963077150683	0.31418243813213	-0.120308285787696	0.0144740836291739
-0.382924922548026	-0.398142689620839	-0.487098062794935	-0.398155803013918	-0.309194722204446	1	0.177903340590489	0.0397408634871616	-0.015217767072813	0.000231580434682392
-0.382924922548026	-0.400658800629283	-0.507179918410882	-0.400483449378757	-0.295268549111178	1	0.211911369299704	0.0463116319597412	-0.0177338780812566	0.000314490431800873
-0.382924922548026	-0.440761906316187	-0.542488665893647	-0.440429294271934	-0.340097203915345	1	0.202391461978302	0.151040009052707	-0.0578369837681609	0.00334511669139851
-0.382924922548026	-0.37798347251797	-0.470523491645375	-0.377850381575268	-0.285494383563378	1	0.185029108081997	-0.0129044879011149	0.00494145003005636	2.4417928399544e-05
-0.382924922548026	-0.301929226388777	-0.39969453438902	-0.302229946023438	-0.202413145047411	1	0.197281389341609	-0.211518476312001	0.0809956961592493	0.00656030279632143
