"True"	"Mean"	"Q2.5"	"Q50"	"Q97.5"	"Coverage"	"CILength"	"Rel_Bias"	"Bias"	"Bias_sq"
-0.364102038264724	-0.288893097673196	-0.406918632538806	-0.289161386634458	-0.169650856808273	1	0.237267775730533	-0.206560064727917	0.0752089405915282	0.00565638474490001
-0.364102038264724	-0.368491572559408	-0.504219232785819	-0.366764929773797	-0.242600349853272	1	0.261618882932547	0.0120557806146965	-0.00438953429468336	1.92680113242014e-05
-0.364102038264724	-0.34299917438683	-0.46589297684049	-0.343391730375624	-0.218500230720915	1	0.247392746119575	-0.0579586535095171	0.0211028638778941	0.000445330863848928
-0.364102038264724	-0.42051425521076	-0.557956717802616	-0.419675831727199	-0.288308995769204	1	0.269647722033412	0.154935185792672	-0.0564122169460358	0.00318233822076661
-0.364102038264724	-0.384756974129011	-0.506309491624095	-0.384661724542697	-0.264195719742148	1	0.242113771881947	0.0567284269067157	-0.0206549358642866	0.000426626375557794
-0.364102038264724	-0.369673170409783	-0.499386891870711	-0.369929940260861	-0.239671330113391	1	0.25971556175732	0.0153010188341994	-0.00557113214505894	3.10375133777091e-05
-0.364102038264724	-0.33469537519034	-0.452641515621854	-0.334734986278906	-0.218573908282585	1	0.234067607339269	-0.0807648955071333	0.0294066630743847	0.000864751833170382
-0.364102038264724	-0.327226459048947	-0.458909574603811	-0.326127491461377	-0.201787932897492	1	0.257121641706318	-0.101278145520753	0.0368755792157777	0.00135980834249909
-0.364102038264724	-0.411017447979829	-0.540499121160904	-0.410096118254385	-0.287079042117067	1	0.253420079043837	0.128852367700819	-0.0469154097151041	0.00220105566873608
-0.364102038264724	-0.382962681389115	-0.513247223838583	-0.381781664820899	-0.259397724340181	1	0.253849499498402	0.0518004326871625	-0.0188606431243905	0.000355723859065619
-0.364102038264724	-0.376669694511856	-0.495334407810694	-0.37629589612623	-0.259714198246705	1	0.235620209563989	0.0345168522182063	-0.0125676562471312	0.000157945983546056
-0.364102038264724	-0.300058946475043	-0.420068136476906	-0.299960353785079	-0.179977012018401	1	0.240091124458505	-0.175893252602773	0.0640430917896819	0.00410151760598162
-0.364102038264724	-0.354506200771255	-0.467560108950132	-0.354150243673835	-0.241084913816905	1	0.226475195133228	-0.0263548030085254	0.00959583749346937	9.20800972010726e-05
-0.364102038264724	-0.323135410632918	-0.43755050498294	-0.32385597553142	-0.206236183636441	1	0.231314321346499	-0.112514139791826	0.040966627631806	0.00167826457952305
-0.364102038264724	-0.348554820254347	-0.466517130102711	-0.348037055684113	-0.233914147933047	1	0.232602982169663	-0.042700167470839	0.0155472180103776	0.000241715987862208
-0.364102038264724	-0.347946623158209	-0.457161024552972	-0.348295743048292	-0.236080752588025	1	0.221080271964947	-0.0443705703585465	0.0161554151065151	0.000260997437263817
-0.364102038264724	-0.295534420833313	-0.405945538711199	-0.295801306142659	-0.185446369342824	1	0.220499169368375	-0.188319784635643	0.0685676174314114	0.0047015181602204
-0.364102038264724	-0.339819273571014	-0.452179918687399	-0.340299781695181	-0.225709748280015	1	0.226470170407383	-0.0666921965321579	0.0242827646937103	0.000589652661170102
-0.364102038264724	-0.440728374727952	-0.56478148208751	-0.440599624705141	-0.315827091052529	1	0.248954391034981	0.210452918166625	-0.0766263364632274	0.00587159543977574
-0.364102038264724	-0.32601429725829	-0.448378264643322	-0.32613541916124	-0.201639195009048	1	0.246739069634274	-0.104607327077754	0.0380877410064349	0.00145067601497326
-0.364102038264724	-0.395374188306985	-0.529206888662522	-0.393251762418571	-0.269995097957114	1	0.259211790705408	0.0858884234521198	-0.0312721500422606	0.000977947368265658
-0.364102038264724	-0.431917257711288	-0.57910292992339	-0.429643886366907	-0.296539621423106	1	0.282563308500284	0.18625333648162	-0.0678152194465633	0.00459890398858553
-0.364102038264724	-0.377965448618768	-0.500798473975907	-0.378184027244675	-0.256059973739836	1	0.244738500236071	0.0380756186373343	-0.0138634103540438	0.000192194146644608
-0.364102038264724	-0.358278157516386	-0.464929680277219	-0.358209568017179	-0.25173221254242	1	0.213197467734799	-0.0159951885358682	0.00582388074833817	3.3917586970864e-05
-0.364102038264724	-0.31138513949951	-0.427990635728042	-0.310865156827763	-0.198275986041188	1	0.229714649686854	-0.144786057821753	0.0527168987652146	0.00277907141542188
-0.364102038264724	-0.342711954162672	-0.46041463843786	-0.342696859537951	-0.223809803056269	1	0.236604835381591	-0.0587474989263889	0.0213900841020529	0.000457535697892896
-0.364102038264724	-0.379358815740999	-0.490201909040947	-0.380119811915642	-0.264309004471322	1	0.225892904569625	0.041902477527968	-0.015256777476275	0.000232769258960571
-0.364102038264724	-0.371340347275721	-0.478770575903501	-0.372087371729019	-0.259044102048695	1	0.219726473854805	0.0198798914872698	-0.00723830901099648	5.23931173386728e-05
-0.364102038264724	-0.294254564774067	-0.405194209545297	-0.294094271556691	-0.182803030416814	1	0.222391179128483	-0.19183488733967	0.0698474734906575	0.0048786695530281
-0.364102038264724	-0.388189798677358	-0.500635763986078	-0.388235996243742	-0.2759432668392	1	0.224692497146878	0.0661566206205106	-0.024087760412634	0.000580220201696457
-0.364102038264724	-0.273336891069601	-0.37685319420666	-0.273585142140821	-0.168541373064996	1	0.208311821141664	-0.249284919215782	0.0907651471951233	0.0082383119453524
-0.364102038264724	-0.315238389742994	-0.422986517493707	-0.315470481382184	-0.206326760975977	1	0.21665975651773	-0.13420317215089	0.0488636485217306	0.00238765614685522
