"2.5%"	"25%"	"50%"	"75%"	"97.5%"
"CACE"	-0.00347261752521737	0.0187618679067303	0.0316900829007584	0.046297896748515	0.0815382896212339
"alpha_a"	-3.78672485196255	-2.68614727436075	-2.17690155410355	-1.6662279356463	-0.68405234171222
"alpha_n"	-3.4697440823422	-2.62562893966896	-2.25140712745767	-1.90856099644099	-1.15323571300609
"b1out"	0.0968238236684792	0.120805722073135	0.135311133982015	0.149787762286468	0.171237410228258
"pia"	0.0198122663808402	0.0573821769112826	0.0920277882962774	0.144626917966281	0.311244974013429
"pic"	0.595185016787894	0.753803544558602	0.8102754443497	0.85408454008318	0.915161592201264
"pin"	0.0253430500121546	0.0596639921429527	0.0844991092084617	0.11543831368978	0.215017467805428
"s1out"	0.0369704267781263	0.103148408385287	0.162779486908692	0.259901819298272	0.638796555928902
"sigma_a"	1.54440747105798	2.16122170642548	2.61410521652623	3.20103702162393	4.91472981635281
"sigma_n"	1.09555936735245	1.50469467948182	1.81345372690988	2.21467016195836	3.42693659410531
"sigma_s"	1.39938718427126	2.10828017895415	2.68120819195302	3.50710137977246	6.45561861935865
"sigma_u"	0.278767175788139	0.361978044981185	0.420455672157468	0.49452893155883	0.699005443234253
"u1out"	0.0459995116692363	0.0696772339183763	0.0822502084710143	0.0954545183745586	0.124241741353476
"v1out"	0.0550308442669671	0.0640176412316766	0.0688949804801034	0.0738491015604433	0.0835699059858443
