"2.5%"	"25%"	"50%"	"75%"	"97.5%"
"CACE"	-0.00307203850986685	0.0212125126242056	0.0358909736939854	0.0523950756233875	0.092215012525346
"alpha_a"	-3.68312108828806	-2.58390252379472	-2.0874082255491	-1.60235580832206	-0.637136198575639
"alpha_n"	-3.36264815637665	-2.5778797744348	-2.22044693501655	-1.8749953732615	-1.09517816699837
"b1out"	0.0983553138420204	0.12279109869243	0.137543866037824	0.151480926499585	0.172429057635112
"pia"	0.021796744423598	0.0627708981488585	0.0994003191497642	0.152225329281282	0.32050611659131
"pic"	0.587485565419239	0.742187637511418	0.799991915617759	0.844969096079506	0.909777613119088
"pin"	0.0285178471294894	0.0613806028321413	0.0860152002524786	0.118279241687198	0.226329334483249
"s1out"	0.040195661923667	0.100936675819176	0.155945283384607	0.240366477447795	0.534811207345158
"sigma_a"	1.49761536179979	2.06506427789527	2.48216110533242	3.0157139504637	4.52413215965528
"sigma_n"	1.08427458944458	1.47199820923387	1.76207876218696	2.139983595351	3.25420648147841
"sigma_s"	1.32372279291024	1.93528186673331	2.41483679834024	3.07373999948954	5.24630064913575
"sigma_u"	0.347064085914248	0.438653409147677	0.502893185253229	0.583323788567859	0.800462140519674
"u1out"	0.0406441631883281	0.0651195044650933	0.0789562663888692	0.0937372513862931	0.126204592085334
"v1out"	0.0542772072013251	0.0634474543038461	0.0683505908481242	0.0733298062867139	0.0831036948516866
